127.0.0.1 - - [05/Jan/2022:09:54:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:41 +0900] "GET /resume/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:42 +0900] "GET /resume/users/login HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:45 +0900] "POST /resume/users/login-processing HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/ HTTP/1.1" 200 16816
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/js/main.js HTTP/1.1" 200 17813
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/jqGrid/js/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/css/detailpage.css HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/jquery-ui-1.12.1.custom/jquery-ui.min.css HTTP/1.1" 200 30747
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/jqGrid/css/ui.jqgrid.css HTTP/1.1" 200 10655
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/css/main.css HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/jqGrid/js/i18n/grid.locale-kr.js HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [05/Jan/2022:09:54:48 +0900] "GET /resume/jqGrid/js/jquery.jqGrid.min.js HTTP/1.1" 200 261496
